Exibicoes,Musicas,Artistas,Column 4,origin_pattern,origin_url,createdAt,updatedAt,pingedAt
59.849 exibições,"",Whindersson Nunes,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,A Gente Nunca Conversou,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,A Lenda,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
6.326 exibições,A Thousand Years,Rihanna,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Always Remember Us This Way,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
5.614 exibições,Apenas Mais Uma de Amor,Reik,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
6.408 exibições,Amei Te Ver,Christina Perri,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Anitta,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Ariana Grande,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Bad Guy,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Bellyache,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Bem Melhor,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Beyoncé,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Billie Eilish,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Billie Jean,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Billionaire,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Boyce Avenue,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Bruno Mars,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Caderninho,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
3.577 exibições,Café,Boyce Avenue,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Calma,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Camila Cabello,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Can't Take My Eyes Off You,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Chandelier,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Christina Perri,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
6.270 exibições,Coisa Linda,Harry Styles,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Coldplay,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Como Uma Onda,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
3.721 exibições,Complicado (part. Anitta),No Te Va Gustar,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
7.321 exibições,Deixa (part. Ana Gabriela Leme),Taylor Swift,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Demi Lovato,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Dia Especial,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
12.085 exibições,Dois Corações,Kell Smith,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Dona de Mim,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Ed Sheeran,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Embrasa (part. Luccas Carlos),,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Enquanto Me Beija,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
7.885 exibições,Era Uma Vez,IZA,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Fix You,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
12.330 exibições,Girassol,Sandy & Junior,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
7.409 exibições,Gelo,Anitta,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Geovanna Jainy,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Girls Like You,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Giulia Be,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Give Me Love,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Halo,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Harry Styles,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Havana,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Hiosaki,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Hipnotizou,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Hoje Lembrei do Teu Amor,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,I Wish You Were Gay,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
6.123 exibições,Idontwannabeyouanymore,Temas de TV,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
6.640 exibições,I'm Yours,Now United,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,IZA,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Jason Mraz,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Jesse & Joy,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Jura Juradinho,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Just The Way You Are,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Justin Bieber,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Jão,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Katy Perry,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Kell Smith,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Lady Gaga,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Lagum,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Legends,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Lei da Vida,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Lewis Capaldi,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Lights Up,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Lose You To Love Me,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Love Yourself,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Lulu Santos,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Maroon 5,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Melim,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Memories,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
10.226 exibições,Menina Solta,Maroon 5,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Michael Jackson,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Miley Cyrus,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Never Be Alone,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,No Te Va Gustar,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Nossa Música,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Nothin' On You,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Now United,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Não Vou Mentir,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Ocean Eyes,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
11.277 exibições,Oi,Michael Jackson,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,Olhos Castanhos,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
,One Direction,,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
12.199 exibições,Ouvi Dizer,Jason Mraz,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
12.591 exibições,Meu Abrigo,Giulia Be,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
3.571 exibições,Lovely (feat. Khalid),Miley Cyrus,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
3.766 exibições,Meu Talismã,RBD,,https://www.cifraclub.com.br/mais-acessadas/pop/,https://www.cifraclub.com.br/mais-acessadas/pop/,2019-11-26 18:13:01,2019-11-26 18:13:01,2019-11-26 18:13:01
