Music,Chord,Key
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,B,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,B,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,A7+,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,A7+,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,A7+,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,A7+,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,B,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,B,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,A7+,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,A7+,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,A7+,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,A7+,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
 alceu valenca admiravel gado novo ,B7,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,B,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,A,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,B,E
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,D,A
 alceu valenca agalopado ,A,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,A,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,A,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,A,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,A,A
 alceu valenca agalopado ,G,A
 alceu valenca agalopado ,D,A
 alceu valenca agalopado ,A,A
 alceu valenca agalopado ,B,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,A,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,A,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,A,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,A,A
 alceu valenca agalopado ,G,A
 alceu valenca agalopado ,D,A
 alceu valenca agalopado ,A,A
 alceu valenca agalopado ,B,A
 alceu valenca agalopado ,E,A
 alceu valenca agalopado ,E,A
 alceu valenca ai de ti copacabana 25890 ,Bm,D
 alceu valenca ai de ti copacabana 25890 ,A,D
 alceu valenca ai de ti copacabana 25890 ,Bm,D
 alceu valenca ai de ti copacabana 25890 ,Dm,D
 alceu valenca ai de ti copacabana 25890 ,A,D
 alceu valenca ai de ti copacabana 25890 ,A,D
 alceu valenca ai de ti copacabana 25890 ,Bm,D
 alceu valenca ai de ti copacabana 25890 ,A,D
 alceu valenca ai de ti copacabana 25890 ,Bm,D
 alceu valenca ai de ti copacabana 25890 ,Dm,D
 alceu valenca ai de ti copacabana 25890 ,A,D
 alceu valenca ai de ti copacabana 25890 ,A,D
 alceu valenca ai de ti copacabana 25890 ,Bm,D
 alceu valenca ai de ti copacabana 25890 ,A,D
 alceu valenca ai de ti copacabana 25890 ,A,D
 alceu valenca ai de ti copacabana 25890 ,Bm,D
 alceu valenca ai de ti copacabana 25890 ,A,D
 alceu valenca ai de ti copacabana 25890 ,A,D
 alceu valenca ai de ti copacabana 25890 ,Bm,D
 alceu valenca ai de ti copacabana 25890 ,A,D
 alceu valenca amor covarde ,G#,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm7,D#
 alceu valenca amor covarde ,G#,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm7,D#
 alceu valenca amor covarde ,Fm7,D#
 alceu valenca amor covarde ,Gm7,D#
 alceu valenca amor covarde ,Dm7,D#
 alceu valenca amor covarde ,Fm7,D#
 alceu valenca amor covarde ,Gm7,D#
 alceu valenca amor covarde ,Dm7,D#
 alceu valenca amor covarde ,D#7/9,D#
 alceu valenca amor covarde ,Bb7M,D#
 alceu valenca amor covarde ,G#,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm,D#
 alceu valenca amor covarde ,G#,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm,D#
 alceu valenca amor covarde ,G#,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm7,D#
 alceu valenca amor covarde ,Fm7,D#
 alceu valenca amor covarde ,Gm7,D#
 alceu valenca amor covarde ,Dm7,D#
 alceu valenca amor covarde ,Fm7,D#
 alceu valenca amor covarde ,Gm7,D#
 alceu valenca amor covarde ,Dm7,D#
 alceu valenca amor covarde ,D#7/9,D#
 alceu valenca amor covarde ,Bb7M,D#
 alceu valenca amor covarde ,G#,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm,D#
 alceu valenca amor covarde ,G#,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm,D#
 alceu valenca amor covarde ,G#,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm7,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm,D#
 alceu valenca amor covarde ,D#7/9,D#
 alceu valenca amor covarde ,Bb7M,D#
 alceu valenca amor covarde ,G#,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm,D#
 alceu valenca amor covarde ,G#,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm,D#
 alceu valenca amor covarde ,G#,D#
 alceu valenca amor covarde ,Gm,D#
 alceu valenca amor covarde ,Dm,D#
 alceu valenca amor covarde ,Fm7,D#
 alceu valenca amor covarde ,Gm7,D#
 alceu valenca amor covarde ,Dm7,D#
 alceu valenca amor covarde ,Fm7,D#
 alceu valenca amor covarde ,Gm7,D#
 alceu valenca amor covarde ,Dm7,D#
 alceu valenca amor covarde ,D#7/9,D#
 alceu valenca amor covarde ,Bb7M,D#
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,Dm,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,Dm,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,Dm,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,Dm,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,C#m,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,C#m,C
 alceu valenca amor que vai ,Bm,C
 alceu valenca amor que vai ,C,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,Bm,C
 alceu valenca amor que vai ,C,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,Dm,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,Dm,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,Dm,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,Dm,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,Dm,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,Dm,C
 alceu valenca amor que vai ,A,C
 alceu valenca amor que vai ,Dm,C
 alceu valenca amor que vai ,A,C
 alceu valenca andar andar ,E,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,A7,E
 alceu valenca andar andar ,B7,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,B7,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,A7,E
 alceu valenca andar andar ,B7,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,B7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca andar andar ,D,E
 alceu valenca andar andar ,E7,E
 alceu valenca anjo avesso ,A,A
 alceu valenca anjo avesso ,A7+,A
 alceu valenca anjo avesso ,A7,A
 alceu valenca anjo avesso ,A7/13,A
 alceu valenca anjo avesso ,D,A
 alceu valenca anjo avesso ,E,A
 alceu valenca anjo avesso ,C#m7,A
 alceu valenca anjo avesso ,F#7,A
 alceu valenca anjo avesso ,Bm7,A
 alceu valenca anjo avesso ,E,A
 alceu valenca anjo avesso ,A,A
 alceu valenca anjo avesso ,F#7,A
 alceu valenca anjo avesso ,Bm7,A
 alceu valenca anjo avesso ,E,A
 alceu valenca anjo avesso ,A,A
 alceu valenca anjo avesso ,E,A
 alceu valenca anjo avesso ,A,A
 alceu valenca anjo avesso ,E,A
 alceu valenca anjo avesso ,A,A
 alceu valenca anjo avesso ,A7,A
 alceu valenca anjo avesso ,Bm7,A
 alceu valenca anjo avesso ,A,A
 alceu valenca anjo avesso ,F#7,A
 alceu valenca anjo avesso ,Bm7,A
 alceu valenca anjo avesso ,E,A
 alceu valenca anjo avesso ,A,A
 alceu valenca anjo avesso ,A/C#,A
 alceu valenca anjo avesso ,Bm7,A
 alceu valenca anjo avesso ,E,A
 alceu valenca anjo avesso ,A,A
 alceu valenca anjo avesso ,F#7,A
 alceu valenca anjo avesso ,Bm7,A
 alceu valenca anjo avesso ,E,A
 alceu valenca anjo avesso ,A,A
 alceu valenca anjo de fogo ,E,E
 alceu valenca anjo de fogo ,A,E
 alceu valenca anjo de fogo ,E,E
 alceu valenca anjo de fogo ,E,E
 alceu valenca anjo de fogo ,A,E
 alceu valenca anjo de fogo ,E,E
 alceu valenca anjo de fogo ,A,E
 alceu valenca anjo de fogo ,E,E
 alceu valenca anjo de fogo ,Bb,E
 alceu valenca anjo de fogo ,B,E
 alceu valenca anjo de fogo ,Bb,E
 alceu valenca anjo de fogo ,B,E
 alceu valenca anjo de fogo ,Bb,E
 alceu valenca anjo de fogo ,B,E
 alceu valenca anjo de fogo ,Bb,E
 alceu valenca anjo de fogo ,B,E
 alceu valenca anjo de fogo ,Bb,E
 alceu valenca anjo de fogo ,B,E
 alceu valenca anjo de fogo ,G,E
 alceu valenca anjo de fogo ,E,E
 alceu valenca anjo de fogo ,Bb,E
 alceu valenca anjo de fogo ,B,E
 alceu valenca anjo de fogo ,Bb,E
 alceu valenca anjo de fogo ,B,E
 alceu valenca anjo de fogo ,Bb,E
 alceu valenca anjo de fogo ,B,E
 alceu valenca anjo de fogo ,Bb,E
 alceu valenca anjo de fogo ,B,E
 alceu valenca anjo de fogo ,Bb,E
 alceu valenca anjo de fogo ,B,E
 alceu valenca anjo de fogo ,G,E
 alceu valenca anjo de fogo ,E,E
 alceu valenca anunciacao ,G,C
 alceu valenca anunciacao ,Am,C
 alceu valenca anunciacao ,C,C
 alceu valenca anunciacao ,G,C
 alceu valenca anunciacao ,G,C
 alceu valenca anunciacao ,Am,C
 alceu valenca anunciacao ,C,C
 alceu valenca anunciacao ,G,C
 alceu valenca anunciacao ,Am,C
 alceu valenca anunciacao ,C,C
 alceu valenca anunciacao ,G,C
 alceu valenca anunciacao ,G7,C
 alceu valenca anunciacao ,Em7,C
 alceu valenca anunciacao ,F,C
 alceu valenca anunciacao ,C,C
 alceu valenca anunciacao ,G,C
 alceu valenca anunciacao ,Am,C
 alceu valenca anunciacao ,C,C
 alceu valenca anunciacao ,G,C
 alceu valenca anunciacao ,Am,C
 alceu valenca anunciacao ,C,C
 alceu valenca anunciacao ,G,C
 alceu valenca apoena ,G,G
 alceu valenca apoena ,D,G
 alceu valenca apoena ,G,G
 alceu valenca apoena ,D,G
 alceu valenca apoena ,G,G
 alceu valenca apoena ,Bm,G
 alceu valenca apoena ,C,G
 alceu valenca apoena ,D,G
 alceu valenca arreio de prata ,B7/Eb,G
 alceu valenca arreio de prata ,B7,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,E/G,G
 alceu valenca arreio de prata ,C,G
 alceu valenca arreio de prata ,B7,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,E/G,G
 alceu valenca arreio de prata ,D7/A,G
 alceu valenca arreio de prata ,D/F#,G
 alceu valenca arreio de prata ,E/G,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,C,G
 alceu valenca arreio de prata ,B7,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,D7/A,G
 alceu valenca arreio de prata ,D/F#,G
 alceu valenca arreio de prata ,E/G,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,C,G
 alceu valenca arreio de prata ,B7,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,E/G,G
 alceu valenca arreio de prata ,B7/Eb,G
 alceu valenca arreio de prata ,B7,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,E/G,G
 alceu valenca arreio de prata ,C,G
 alceu valenca arreio de prata ,B7,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,D7/A,G
 alceu valenca arreio de prata ,D/F#,G
 alceu valenca arreio de prata ,E/G,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,C,G
 alceu valenca arreio de prata ,B7,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,D7/A,G
 alceu valenca arreio de prata ,D/F#,G
 alceu valenca arreio de prata ,E/G,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,C,G
 alceu valenca arreio de prata ,B7,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,D7/A,G
 alceu valenca arreio de prata ,D/F#,G
 alceu valenca arreio de prata ,E/G,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,C,G
 alceu valenca arreio de prata ,B7,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,D7/A,G
 alceu valenca arreio de prata ,D/F#,G
 alceu valenca arreio de prata ,E/G,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,C,G
 alceu valenca arreio de prata ,B7,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca arreio de prata ,C,G
 alceu valenca arreio de prata ,B7,G
 alceu valenca arreio de prata ,Em,G
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,B,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,B,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,B,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,B,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,B,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,B,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,B,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,B,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,F#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,F#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,F#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,F#m,E
 alceu valenca ateu comovido ,B,E
 alceu valenca ateu comovido ,A,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,F#m,E
 alceu valenca ateu comovido ,E,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,B,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca ateu comovido ,B,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,C#m,E
 alceu valenca ateu comovido ,G#m,E
 alceu valenca baiao ,E,E
 alceu valenca baiao ,A7,E
 alceu valenca baiao ,D,E
 alceu valenca baiao ,B7,E
 alceu valenca baiao ,E,E
 alceu valenca baiao ,A,E
 alceu valenca baiao ,Em,E
 alceu valenca baiao ,A7,E
 alceu valenca baiao ,D,E
 alceu valenca baiao ,B7,E
 alceu valenca baiao ,E,E
 alceu valenca baiao ,A,E
 alceu valenca baiao ,Em,E
 alceu valenca baiao ,A7,E
 alceu valenca baiao ,D,E
 alceu valenca baiao ,B7,E
 alceu valenca baiao ,E,E
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,Am,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,Am,C
 alceu valenca balanco de rede ,Gm,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,G7,C
 alceu valenca balanco de rede ,C,C
 alceu valenca balanco de rede ,F,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,Am,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,Am,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,Am,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,Am,C
 alceu valenca balanco de rede ,Gm,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,G7,C
 alceu valenca balanco de rede ,C,C
 alceu valenca balanco de rede ,F,C
 alceu valenca balanco de rede ,Gm,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,G7,C
 alceu valenca balanco de rede ,C,C
 alceu valenca balanco de rede ,F,C
 alceu valenca balanco de rede ,Am,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,Am,C
 alceu valenca balanco de rede ,Gm,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,G7,C
 alceu valenca balanco de rede ,C,C
 alceu valenca balanco de rede ,F,C
 alceu valenca balanco de rede ,Gm,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,G7,C
 alceu valenca balanco de rede ,C,C
 alceu valenca balanco de rede ,F,C
 alceu valenca balanco de rede ,Am,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,Am,C
 alceu valenca balanco de rede ,Gm,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,G7,C
 alceu valenca balanco de rede ,C,C
 alceu valenca balanco de rede ,F,C
 alceu valenca balanco de rede ,Gm,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,G7,C
 alceu valenca balanco de rede ,C,C
 alceu valenca balanco de rede ,F,C
 alceu valenca balanco de rede ,Dm,C
 alceu valenca balanco de rede ,Am,C
